category  student level title duration
the-arts	Elementary/Primary	The Case For Andy Warhol	03:42
mathematics	Middle School/Lower Secondary	Can you solve the temple riddle?	Dennis E. Shasha	04:13
mathematics	Middle School/Lower Secondary	Can you solve "Einstein’s Riddle"?	Dan Van der Vieren	05:13
mathematics	Middle School/Lower Secondary	How did clouds get their names?	Richard Hamblyn	05:07
mathematics	Middle School/Lower Secondary	Can you solve the prisoner hat riddle?	Alex Gendler	04:35
mathematics	Middle School/Lower Secondary	Can you solve the bridge riddle?	Alex Gendler	03:50
mathematics	Middle School/Lower Secondary	Football physics: The "impossible" free kick	Erez Garty	03:33
mathematics	Middle School/Lower Secondary	How to detect a supernova	Samantha Kuula	04:42
mathematics	Middle School/Lower Secondary	How people rationalize fraud	Kelly Richmond Pope	04:35
mathematics	Middle School/Lower Secondary	The math behind Michael Jordan’s legendary hang time	Andy Peterson and Zack Patterson	03:46
mathematics	Middle School/Lower Secondary	The complex geometry of Islamic design	Eric Broug	05:07
mathematics	Middle School/Lower Secondary	What's the difference between accuracy and precision?	Matt Anticole	04:53
mathematics	Middle School/Lower Secondary	The real story behind Archimedes’ Eureka!	Armand D'Angour	04:42
mathematics	Middle School/Lower Secondary	Did Shakespeare write his plays?	Natalya St. Clair and Aaron Williams	04:07
mathematics	Middle School/Lower Secondary	The last banana: A thought experiment in probability	Leonardo Barichello	04:10
mathematics	Middle School/Lower Secondary	How does your smartphone know your location?	Wilton L. Virgo	05:03
mathematics	Middle School/Lower Secondary	The mighty mathematics of the lever	Andy Peterson and Zack Patterson	04:46
mathematics	Middle School/Lower Secondary	The unexpected math behind Van Gogh's "Starry Night"	Natalya St. Clair	04:39
mathematics	Middle School/Lower Secondary	Is math discovered or invented?	Jeff Dekofsky	05:11
mathematics	Middle School/Lower Secondary	Is our climate headed for a mathematical tipping point?	Victor J. Donnay	04:11
mathematics	Middle School/Lower Secondary	Can You Solve This?	04:44
mathematics	Middle School/Lower Secondary	Music and math: The genius of Beethoven	Natalya St. Clair	04:20
mathematics	Middle School/Lower Secondary	The time value of money	German Nande	03:37
mathematics	Middle School/Lower Secondary	What gives a dollar bill its value?	Doug Levinson	03:52
mathematics	Middle School/Lower Secondary	Why do honeybees love hexagons?	Zack Patterson and Andy Peterson	03:59
mathematics	Middle School/Lower Secondary	Population pyramids: Powerful predictors of the future	Kim Preshoff	05:02
mathematics	Middle School/Lower Secondary	The case of the missing fractals	Alex Rosenthal and George Zaidan	04:53
mathematics	Middle School/Lower Secondary	The Infinite Hotel Paradox	Jeff Dekofsky	06:00
mathematics	Middle School/Lower Secondary	Is time travel possible?	Colin Stuart	05:04
mathematics	Middle School/Lower Secondary	The good news of the decade?	Hans Rosling	15:35
mathematics	Middle School/Lower Secondary	Math jokes explained	04:04
mathematics	Middle School/Lower Secondary	Mysteries of vernacular: Zero	Jessica Oreck and Rachael Teel	02:06
mathematics	Middle School/Lower Secondary	Exploring other dimensions	Alex Rosenthal and George Zaidan	04:49
mathematics	Middle School/Lower Secondary	The infinite life of pi	Reynaldo Lopes	03:45
mathematics	Middle School/Lower Secondary	SpongeBob's house is not a pineapple	01:58
mathematics	Middle School/Lower Secondary	What's an algorithm?	David J. Malan	04:58
mathematics	Middle School/Lower Secondary	Candy factory	03:01
mathematics	Middle School/Lower Secondary	The mathematics of history	Jean-Baptiste Michel	04:27
mathematics	Middle School/Lower Secondary	The magic of Vedic math	Gaurav Tekriwal	09:45
mathematics	Middle School/Lower Secondary	What is Zeno’s Dichotomy Paradox?	Colm Kelleher	04:12
mathematics	Middle School/Lower Secondary	Euclid’s puzzling parallel postulate	Jeff Dekofsky	03:37
mathematics	Middle School/Lower Secondary	Pi with pies	03:14
mathematics	Middle School/Lower Secondary	How to organize, add and multiply matrices	Bill Shillito	04:41
mathematics	Middle School/Lower Secondary	Gridiron physics: Scalars and vectors	Michelle Buchanan	04:49
mathematics	Middle School/Lower Secondary	Inside OKCupid: The math of online dating	Christian Rudder	07:31
mathematics	Middle School/Lower Secondary	How to defeat a dragon with math	Garth Sundem	03:47
mathematics	Middle School/Lower Secondary	Pizza physics (New York-style)	Colm Kelleher	03:58
mathematics	Middle School/Lower Secondary	How does math guide our ships at sea?	George Christoph	04:19
mathematics	Middle School/Lower Secondary	Why do competitors open their stores next to one another?	Jac de Haan	04:07
mathematics	Middle School/Lower Secondary	A clever way to estimate enormous numbers	Michael Mitchell	04:15
mathematics	Middle School/Lower Secondary	An introduction to mathematical theorems	Scott Kennedy	04:39
mathematics	Middle School/Lower Secondary	How taking a bath led to Archimedes’ Principle	Mark Salata	03:01
mathematics	Middle School/Lower Secondary	What happens if you guess?	Leigh Nataro	05:28
mathematics	Middle School/Lower Secondary	Logarithms, explained	Steve Kelly	03:34
mathematics	Middle School/Lower Secondary	How big is infinity?	Dennis Wildfogel	07:13
mathematics	Middle School/Lower Secondary	Average speed and Rich Eisen's ineptitude in the 40-yard dash	01:48
mathematics	Middle School/Lower Secondary	One is one...or is it?	Christopher Danielson	03:55
mathematics	Middle School/Lower Secondary	How folding paper can get you to the moon	Adrian Paenza	03:49
mathematics	Middle School/Lower Secondary	The best stats you've ever seen	Hans Rosling	19:54
mathematics	Middle School/Lower Secondary	How many universes are there?	Chris Anderson	04:43
mathematics	High School/Upper Secondary	How to visualize one part per million	Kim Preshoff + The TED-Ed Community	02:28
mathematics	High School/Upper Secondary	Why the metric system matters	Matt Anticole	05:08
mathematics	High School/Upper Secondary	Can you solve the passcode riddle?	Ganesh Pai	04:08
mathematics	High School/Upper Secondary	What If Everyone Jumped at the Same Time?	07:13
mathematics	High School/Upper Secondary	Can you solve the control room riddle?	Dennis Shasha	04:01
mathematics	High School/Upper Secondary	Making sense of irrational numbers	Ganesh Pai	04:41
mathematics	High School/Upper Secondary	The origin of countless conspiracy theories	PatrickJMT	04:36
mathematics	High School/Upper Secondary	The psychology behind irrational decisions	Sara Garofalo	04:39
mathematics	High School/Upper Secondary	Einstein's Theory of General Relativity	03:05
mathematics	High School/Upper Secondary	The World's Roundest Object (and Why it Exists)	11:44
mathematics	High School/Upper Secondary	Should you trust unanimous decisions?	Derek Abbott	04:03
mathematics	High School/Upper Secondary	Can you solve the locker riddle?	Lisa Winer	03:50
mathematics	High School/Upper Secondary	Can you solve the frog riddle?	Derek Abbott	04:31
mathematics	High School/Upper Secondary	Can you solve the temple riddle?	Dennis E. Shasha	04:13
mathematics	High School/Upper Secondary	How statistics can be misleading	Mark Liddell	04:19
mathematics	High School/Upper Secondary	The ethical dilemma of self-driving cars	Patrick Lin	04:16
mathematics	High School/Upper Secondary	Can you solve "Einstein’s Riddle"?	Dan Van der Vieren	05:13
mathematics	High School/Upper Secondary	How did clouds get their names?	Richard Hamblyn	05:07
mathematics	High School/Upper Secondary	Group theory 101: How to play a Rubik’s Cube like a piano	Michael Staff	04:37
mathematics	High School/Upper Secondary	Can you solve the prisoner hat riddle?	Alex Gendler	04:35
mathematics	High School/Upper Secondary	The mathematical secrets of Pascal’s triangle	Wajdi Mohamed Ratemi	04:50
mathematics	High School/Upper Secondary	Can you solve the bridge riddle?	Alex Gendler	03:50
mathematics	High School/Upper Secondary	The famously difficult green-eyed logic puzzle	Alex Gendler	04:42
mathematics	High School/Upper Secondary	Football physics: The "impossible" free kick	Erez Garty	03:33
mathematics	High School/Upper Secondary	How to detect a supernova	Samantha Kuula	04:42
mathematics	High School/Upper Secondary	How people rationalize fraud	Kelly Richmond Pope	04:35
mathematics	High School/Upper Secondary	The math behind Michael Jordan’s legendary hang time	Andy Peterson and Zack Patterson	03:46
mathematics	High School/Upper Secondary	The complex geometry of Islamic design	Eric Broug	05:07
mathematics	High School/Upper Secondary	What's the difference between accuracy and precision?	Matt Anticole	04:53
mathematics	High School/Upper Secondary	Why are manhole covers round?	Marc Chamberland	03:35
mathematics	High School/Upper Secondary	The real story behind Archimedes’ Eureka!	Armand D'Angour	04:42
mathematics	High School/Upper Secondary	Did Shakespeare write his plays?	Natalya St. Clair and Aaron Williams	04:07
mathematics	High School/Upper Secondary	The last banana: A thought experiment in probability	Leonardo Barichello	04:10
mathematics	High School/Upper Secondary	How does your smartphone know your location?	Wilton L. Virgo	05:03
mathematics	High School/Upper Secondary	Einstein's miracle year	Larry Lagerstrom	05:16
mathematics	High School/Upper Secondary	The unexpected math behind Van Gogh's "Starry Night"	Natalya St. Clair	04:39
mathematics	High School/Upper Secondary	Is math discovered or invented?	Jeff Dekofsky	05:11
mathematics	High School/Upper Secondary	Mile of Pi	Numberphile	06:28
mathematics	High School/Upper Secondary	Is our climate headed for a mathematical tipping point?	Victor J. Donnay	04:11
mathematics	High School/Upper Secondary	Can You Solve This?	04:44
mathematics	High School/Upper Secondary	Music and math: The genius of Beethoven	Natalya St. Clair	04:20
mathematics	High School/Upper Secondary	The time value of money	German Nande	03:37
mathematics	High School/Upper Secondary	What gives a dollar bill its value?	Doug Levinson	03:52
mathematics	High School/Upper Secondary	Why do honeybees love hexagons?	Zack Patterson and Andy Peterson	03:59
mathematics	High School/Upper Secondary	Population pyramids: Powerful predictors of the future	Kim Preshoff	05:02
mathematics	High School/Upper Secondary	The case of the missing fractals	Alex Rosenthal and George Zaidan	04:53
mathematics	High School/Upper Secondary	Fractals and the art of roughness	Benoit Mandelbrot	17:10
mathematics	High School/Upper Secondary	The Infinite Hotel Paradox	Jeff Dekofsky	06:00
mathematics	High School/Upper Secondary	Is time travel possible?	Colin Stuart	05:04
mathematics	High School/Upper Secondary	The good news of the decade?	Hans Rosling	15:35
mathematics	High School/Upper Secondary	Math jokes explained	04:04
mathematics	High School/Upper Secondary	Mysteries of vernacular: Zero	Jessica Oreck and Rachael Teel	02:06
mathematics	High School/Upper Secondary	Exploring other dimensions	Alex Rosenthal and George Zaidan	04:49
mathematics	High School/Upper Secondary	The infinite life of pi	Reynaldo Lopes	03:45
mathematics	High School/Upper Secondary	SpongeBob's house is not a pineapple	01:58
mathematics	High School/Upper Secondary	What's an algorithm?	David J. Malan	04:58
mathematics	High School/Upper Secondary	The mathematics of history	Jean-Baptiste Michel	04:27
mathematics	High School/Upper Secondary	The magic of Vedic math	Gaurav Tekriwal	09:45
mathematics	High School/Upper Secondary	What is Zeno’s Dichotomy Paradox?	Colm Kelleher	04:12
